# https://www.nhl.com/penguins/team/leaders-by-season

96-97 | Mario Lemieux (50) | Mario Lemieux (72) | Mario Lemieux (122)
95-96 | Mario Lemieux (69) | Mario Lemieux, Ron Francis (92) | Mario Lemieux (161)
94-95 | Jaromir Jagr (32) | Ron Francis (48) | Jaromir Jagr (70)
93-94 | Kevin Stevens (41) | Jaromir Jagr (67) | Jaromir Jagr (99)
92-93 | Mario Lemieux (69) | Mario Lemieux (91) | Mario Lemieux (160)
91-92 | Kevin Stevens (54) | Mario Lemieux (87) | Mario Lemieux (131)
90-91 | Mark Recchi, Kevin Stevens (40) | Mark Recchi (73) | Mark Recchi (113)
89-90 | Mario Lemieux (45) | Mario Lemieux (78) | Mario Lemieux (123)
88-89 | Mario Lemieux (85) | Mario Lemieux (114) | Mario Lemieux (199)
87-88 | Mario Lemieux (70) | Mario Lemieux (98) | Mario Lemieux (168)
86-87 | Mario Lemieux (54) | Mario Lemieux (53) | Mario Lemieux (107)
85-86 | Mario Lemieux (48) | Mario Lemieux (93) | Mario Lemieux (141)
84-85 | Mario Lemieux (43) | Mario Lemieux (57) | Mario Lemieux (100)
83-84 | Mike Bullard (51) | Mike Bullard (41) | Mike Bullard (92)
